SIREN,NOM,HAB,DEP
200070951,Fienvillers  ,698,80
200070951,Flesselles  ,2066,80
200070951,Fréchencourt  ,261,80
200070951,Frohen-sur-Authie  ,240,80
200070951,Gézaincourt  ,423,80
200070951,Gorges  ,40,80
200070951,Grouches-Luchuel  ,590,80
200070951,Hem-Hardinval  ,378,80
200070951,Heuzecourt  ,168,80
200070951,Hiermont  ,154,80
200070951,Humbercourt  ,271,80
200070951,La Vicogne  ,249,80
200070951,Le Meillard  ,158,80
200070951,Longuevillette  ,77,80
200070951,Lucheux  ,532,80
200070951,Maizicourt  ,191,80
200070951,Mézerolles  ,189,80
200070951,Mirvaux  ,141,80
200070951,Molliens-au-Bois  ,331,80
200070951,Montigny-les-Jongleurs  ,96,80
200070951,Montigny-sur-l'Hallue  ,209,80
200070951,Montonvillers  ,83,80
200070951,Naours  ,1092,80
200070951,Neuvillette  ,227,80
200070951,Occoches  ,131,80
200070951,Outrebois  ,320,80
200070951,Pierregot  ,287,80
200070951,Prouville  ,321,80
200070951,Rainneville  ,1008,80
200070951,Remaisnil  ,31,80
200070951,Rubempré  ,736,80
200070951,Saint-Acheul  ,29,80
200070951,Saint-Gratien  ,385,80
200070951,Talmas  ,1081,80
200070951,Terramesnil  ,317,80
200070951,Vadencourt  ,103,80
200070951,Villers-Bocage  ,1481,80
200070951,Wargnies  ,89,80
248000747,Acheux-en-Amiénois  ,600,80
248000747,Albert  ,9973,80
248000747,Arquèves  ,162,80
248000747,Auchonvillers  ,147,80
248000747,Authie  ,286,80
248000747,Authuille  ,164,80
248000747,Aveluy  ,527,80
248000747,Bayencourt  ,81,80
248000747,Bazentin  ,79,80
248000747,Beaucourt-sur-l'Ancre  ,95,80
248000747,Beaumont-Hamel  ,211,80
248000747,Bécordel-Bécourt  ,160,80
248000747,Bertrancourt  ,221,80
248000747,Bouzincourt  ,559,80
248000747,Bray-sur-Somme  ,1281,80
248000747,Buire-sur-l'Ancre  ,312,80
248000747,Bus-lès-Artois  ,133,80
248000747,Cappy  ,551,80
999,Carnoy,,Carnoy-Mametz  
999,Mametz,,Carnoy-Mametz  
248000747,Chuignolles  ,154,80
248000747,Coigneux  ,51,80
248000747,Colincamps  ,91,80
248000747,Contalmaison  ,117,80
248000747,Courcelette  ,155,80
248000747,Courcelles-au-Bois  ,79,80
248000747,Curlu  ,172,80
248000747,Dernancourt  ,567,80
248000747,Éclusier-Vaux  ,122,80
248000747,Englebelmer  ,305,80
999,Étinehem,,Étinehem-Méricourt  
999,Méricourt-sur-Somme,,Étinehem-Méricourt  
248000747,Forceville  ,176,80
248000747,Fricourt  ,494,80
248000747,Frise  ,186,80
248000747,Grandcourt  ,177,80
248000747,Harponville  ,175,80
248000747,Hédauville  ,122,80
248000747,Hérissart  ,658,80
248000747,Irles  ,120,80
248000747,La Neuville-lès-Bray  ,265,80
248000747,Laviéville  ,174,80
248000747,Léalvillers  ,168,80
248000747,Louvencourt  ,290,80
248000747,Mailly-Maillet  ,635,80
248000747,Maricourt  ,182,80
248000747,Marieux  ,127,80
248000747,Méaulte  ,1279,80
248000747,Mesnil-Martinsart  ,241,80
248000747,Millencourt  ,213,80
248000747,Miraumont  ,670,80
248000747,Montauban-de-Picardie  ,213,80
248000747,Morlancourt  ,369,80
248000747,Ovillers-la-Boisselle  ,445,80
248000747,Pozières  ,270,80
248000747,Puchevillers  ,558,80
248000747,Pys  ,122,80
248000747,Raincheval  ,282,80
248000747,Saint-Léger-lès-Authie  ,87,80
248000747,Senlis-le-Sec  ,303,80
248000747,Suzanne  ,194,80
248000747,Thiepval  ,128,80
248000747,Thièvres  ,63,80
248000747,Toutencourt  ,455,80
248000747,Varennes  ,220,80
248000747,Vauchelles-lès-Authie  ,146,80
248000747,Ville-sur-Ancre  ,277,80
200070977,Andechy  ,278,80
200070977,Armancourt  ,32,80
200070977,Assainvillers  ,106,80
200070977,Ayencourt  ,193,80
200070977,Balâtre  ,71,80
200070977,Becquigny  ,131,80
200070977,Beuvraignes  ,864,80
200070977,Biarre  ,66,80
200070977,Bouillancourt-la-Bataille  ,156,80
200070977,Boussicourt  ,87,80
200070977,Bus-la-Mésière  ,159,80
200070977,Cantigny  ,113,80
200070977,Carrépuis  ,274,80
200070977,Champien  ,293,80
200070977,Courtemanche  ,105,80
200070977,Crémery  ,129,80
200070977,Cressy-Omencourt  ,124,80
200070977,Damery  ,235,80
200070977,Dancourt-Popincourt  ,156,80
200070977,Davenescourt  ,572,80
200070977,Erches  ,190,80
200070977,Ercheu  ,789,80
200070977,Étalon  ,136,80
200070977,Ételfay  ,373,80
200070977,Faverolles  ,168,80
200070977,Fescamps  ,140,80
200070977,Fignières  ,156,80
200070977,Fonches-Fonchette  ,167,80
200070977,Fontaine-sous-Montdidier  ,110,80
200070977,Fresnoy-lès-Roye  ,299,80
200070977,Goyencourt  ,93,80
200070977,Gratibus  ,183,80
200070977,Grivillers  ,87,80
200070977,Gruny  ,320,80
200070977,Guerbigny  ,290,80
200070977,Hattencourt  ,296,80
200070977,Herly  ,44,80
200070977,L'Échelle-Saint-Aurin  ,52,80
200070977,Laboissière-en-Santerre  ,144,80
200070977,Laucourt  ,200,80
200070977,Le Cardonnois  ,84,80
200070977,Liancourt-Fosse  ,300,80
200070977,Lignières  ,143,80
200070977,Malpart  ,76,80
200070977,Marché-Allouarde  ,52,80
200070977,Marestmontiers  ,114,80
200070977,Marquivillers  ,195,80
200070977,Mesnil-Saint-Georges  ,196,80
200070977,Montdidier  ,6284,80
200070977,Piennes-Onvillers  ,374,80
200070977,Remaugies  ,130,80
200070977,Roiglise  ,162,80
200070977,Rollot  ,779,80
200070977,Roye  ,5770,80
200070977,Rubescourt  ,135,80
200070977,Saint-Mard  ,162,80
200070977,Tilloloy  ,359,80
999,Contoire,,Trois-Rivières  
999,Hargicourt,,Trois-Rivières  
999,Pierrepont-sur-Avre,,Trois-Rivières  
200070977,Verpillières  ,175,80
200070977,Villers-lès-Roye  ,272,80
200070977,Villers-Tournelle  ,170,80
200070977,Warsy  ,150,80
200070969,Ailly-sur-Noye  ,2866,80
200070969,Arvillers  ,779,80
200070969,Aubercourt  ,81,80
200070969,Aubvillers  ,149,80
200070969,Beaucourt-en-Santerre  ,174,80
200070969,Berteaucourt-lès-Thennes  ,446,80
200070969,Braches  ,250,80
200070969,Cayeux-en-Santerre  ,122,80
200070969,Chaussoy-Epagny  ,592,80
200070969,Chirmont  ,129,80
200070969,Cottenchy  ,743,80
200070969,Coullemelle  ,327,80
200070969,Démuin  ,519,80
200070969,Domart-sur-la-Luce  ,419,80
200070969,Dommartin  ,354,80
200070969,Esclainvillers  ,167,80
200070969,Flers-sur-Noye  ,517,80
200070969,Folleville  ,146,80
200070969,Fouencamps  ,209,80
200070969,Fransures  ,132,80
200070969,Fresnoy-en-Chaussée  ,144,80
200070969,Grivesnes  ,415,80
200070969,Guyencourt-sur-Noye  ,186,80
200070969,Hailles  ,429,80
200070969,Hallivillers  ,151,80
200070969,Hangard  ,126,80
200070969,Hangest-en-Santerre  ,1022,80
200070969,Ignaucourt  ,74,80
200070969,Jumel  ,522,80
200070969,La Faloise  ,234,80
200070969,La Neuville-Sire-Bernard  ,296,80
200070969,Lawarde-Mauger-l'Hortoy  ,168,80
200070969,Le Plessier-Rozainvillers  ,768,80
