comm_insee;NOM_COM;Nb_log_pp_2022;Prop_logvac_pp_2A_010121
2334;Fresnoy-le-Grand;1 121;3,7
2339;Gandelu;;
2340;Gauchy;1 938;0,7
2347;Gland;249;6
2352;Gouy;269;4,5
2358;Grougis;;
2359;Grugies;473;2,7
2360;Villeneuve-sur-Aisne;1 137;2,9
2361;Guise;2 370;12
2363;Guny;213;7
2370;Hargicourt;;
2371;Harly;677;1,8
2381;Hirson;3 870;7,2
2389;Jaulgonne;371;3
2397;Jussy;495;4,4
2405;Landouzy-la-Ville;276;8,7
2408;Laon;8 374;4,1
2420;Lesdins;;
2430;Liesse-Notre-Dame;555;7,2
2439;Les Septvallons;498;3,6
2457;Marchais;;
2458;Dhuys et Morin-en-Brie;428;6,1
2465;Marigny-en-Orxois;;
2468;Marle;946;10,4
2469;Marly-Gomont;247;4,9
2470;Martigny;201;6,5
2472;Mauregny-en-Haye;;
2476;Mennevret;327;8
2495;Mondrepuis;427;3,5
2498;Montaigu;382;5,2
2500;Montbrehain;387;7,2
2502;Montcornet;578;8,3
2503;Mont-d'Origny;;
2504;Montescourt-Lizerolles;627;4
2520;Mont-Notre-Dame;;
2521;Montreuil-aux-Lions;615;3,3
2524;Mont-Saint-Père;339;5
2532;Moÿ-de-l'Aisne;455;2,6
2543;Neuilly-Saint-Front;893;4,5
2549;Neuville-Saint-Amand;;
2554;Nogentel;508;3,7
2555;Nogent-l'Artaud;924;3,9
2558;Le Nouvion-en-Thiérache;1 119;4,7
2559;Nouvion-et-Catillon;;
2566;Ognes;526;3
2569;Oisy;;
2574;Origny-en-Thiérache;641;4,1
2575;Origny-Sainte-Benoite;743;5,7
2580;Oulchy-le-Château;320;4,1
2596;Pavant;371;3,8
2602;Pinon;649;2,5
2608;Plomion;282;7,8
2618;Prémont;;
2624;Proisy;;
2648;Ribemont;928;5,6
2666;Rozoy-sur-Serre;444;8,6
2668;Sains-Richaumont;456;4,4
2676;Saint-Erme-Outre-et-Ramecourt;730;3,8
2680;Saint-Gobain;962;2,9
2684;Saint-Michel;1 436;4,9
2691;Saint-Quentin;23 354;4,4
2701;Saulchery;374;8,8
2703;Seboncourt;471;3,4
2719;Sinceny;956;2,6
2720;Sissonne;725;5,1
2721;Sissy;;
2722;Soissons;9 709;4,2
2738;Tergnier;4 597;2,9
2741;Thenelles;285;5,6
2746;Travecy;;
2748;Trélou-sur-Marne;562;8,7
2750;Trosly-Loire;287;3,8
2757;Vadencourt;287;7,3
2758;Vailly-sur-Aisne;970;4,1
2769;Vaux-Andigny;442;5,4
2775;Vendeuil;436;2,8
2776;Vendhuile;261;4,2
2780;Venizel;;
2785;Vermand;492;4,7
2789;Vervins;973;10,4
2795;Vic-sur-Aisne;680;4,6
2798;Viels-Maisons;585;4,1
2805;Villeneuve-Saint-Germain;877;2,3
2810;Villers-Cotterêts;3 372;5
2816;Villers-sur-Fère;234;6,8
2818;Villiers-Saint-Denis;427;4,4
2820;Viry-Noureuil;801;3
2830;Wassigny;;
3001;Abrest;1 438;3,2
3003;Ainay-le-Château;707;12,9
3005;Archignat;208;12
3006;Arfeuilles;704;14,2
3007;Arpheuilles-Saint-Priest;;
3008;Arronnes;;
3013;Avermes;1 711;2,8
3018;Bayet;343;7
3019;Beaulon;934;7,4
3022;Bellenaves;692;10,8
3023;Bellerive-sur-Allier;4 189;2,8
3024;Bert;;
3025;Bessay-sur-Allier;688;6,4
3026;Besson;402;8,7
3027;Bézenet;592;12,2
3029;Billy;490;10
3030;Biozat;464;6,5
3034;Boucé;274;6,2
3036;Bourbon-l'Archambault;1 574;9,3
3037;Braize;;
3038;Bransat;;
3039;Bresnay;;
3040;Bressolles;550;3,5
3041;Le Brethon;300;13,3
