"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"9311";"22206_16816";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.98528104245322, 48.5393640314955)
"9312";"22248_19540";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.08410335281898, 48.6232120900074)
"9313";"22032_19710";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.15112352707282, 48.283487047293)
"9314";"22032_21981";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.15522413456875, 48.2882214996109)
"9315";"22001_19743";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.87536864110979, 48.3112654788799)
"9316";"22015_19821";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.56600941072376, 48.3903449918351)
"9317";"22218_2487";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.23359064852512, 48.8649983348134)
"9318";"33146_21412";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.731479886671694, 45.1137759592591)
"9319";"22021_19829";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.08981104918599, 48.3913775703717)
"9320";"22262_19849";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.9098986879599, 48.4022001360154)
"9321";"22118_20018";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.03750877284151, 48.4467133919893)
"9322";"22050_20033";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.05463433162727, 48.4534661439088)
"9323";"22048_20040";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.17101100190948, 48.4597585721712)
"9324";"22182_2611";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(-2.91686625912201, 48.5503510527063)
"9325";"22240_21338";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.23739598510163, 48.2551222133259)
"9326";"22203_21846";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(-2.7560792893901, 48.3455246582238)
"9327";"22121_2622";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.9896802185333, 48.6290868850196)
"9328";"22293_2675";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.10660103192967, 48.65042623471)
"9329";"22377_2676";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.88875652201846, 48.650545662772)
"9330";"22363_3291";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.35235972522281, 48.8029634602051)
"9331";"22377_2700";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.87154278916296, 48.6608945827665)
"9332";"22046_3829";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-2.5431053264357, 48.2499369263959)
"9333";"22265_9086";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.36316407600286, 48.7225784215529)
