"";"site_id";"nature";"nom_prodcartofriches";"site_statut";"geom"
"1672";"60514_14996";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.00613750026314, 49.6173283905952)
"1673";"11052_10063";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.25482460588535, 43.3485450493624)
"1674";"12148_6533";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.23306374351149, 44.4805456137302)
"1675";"80479_14075";"MTE";"Friche étude Ademe 2021";"inconnu";c(1.85073792767861, 49.7750216539032)
"1676";"93071_21867";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.53220036253823, 48.9486338257645)
"1677";"94077_9215";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.43954130480579, 48.7271269976628)
"1678";"17346_17778";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-0.889955644768219, 45.9150817694841)
"1679";"32406_10584";"MTE";"Friche étude Ademe 2021";"inconnu";c(0.822896283461472, 43.6929380452023)
"1680";"94077_22022";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(2.42954670775185, 48.7284517835502)
"1681";"94077_10408";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(2.43782932661406, 48.7320448269012)
"1682";"34117_7265";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.10075965215227, 43.6719255797209)
"1683";"22110_2919";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-3.35495681512647, 48.7346211631071)
"1684";"35028_19280";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(-1.40334998210236, 47.9697577546456)
"1685";"41232_7103";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.05382250893273, 47.4245966371011)
"1686";"28088_19436";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.34267356565489, 48.0712238099433)
"1687";"11006_8684";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.70278625004808, 42.9923620678359)
"1688";"80395_14131";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.66287105341592, 49.705723050127)
"1689";"19140_1918";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.92681597403017, 45.086028747762)
"1690";"60012_1647";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.16939865794228, 49.2557014273137)
"1691";"59183_4921";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(2.36909010826864, 51.0280078796268)
"1692";"36168_5487";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.30830848651225, 46.5074555408742)
"1693";"37156_21568";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(0.81899760316293, 47.3908023074525)
"1694";"37270_18757";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(0.849357977441589, 47.4242282326741)
"1695";"88367_11883";"MTE";"Cerema AO Ademe";"inconnu";c(6.63471420185551, 48.3593837053274)
"1696";"62177_8370";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(1.83268492839686, 50.4438590987579)
"1697";"88118_10625";"MTE";"Friche étude Ademe 2021";"inconnu";c(5.66693845741317, 48.4296212119807)
"1698";"59178_6513";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(3.07511140707957, 50.370817232202)
"1699";"88015_11480";"MTE";"Cerema AO Ademe";"inconnu";c(5.83196844511956, 48.3782214896674)
"1700";"88134_12090";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(6.47315656011983, 48.1381348160442)
"1701";"88083_11496";"Ademe";"Friche étude Ademe 2021, intéressante pour du PV au sol";"inconnu";c(5.76173547512486, 48.3050252189538)
"1702";"2A004_8318";"MTE";"Site Basias ou Basol vérifié par le Cerema en 2020";"inconnu";c(8.79333358285944, 41.9185240976912)
"1703";"88022_11534";"MTE";"Cerema AO Ademe";"inconnu";c(5.84396661380453, 48.2303446338309)
"1704";"88386_12180";"MTE";"Cerema AO Ademe";"inconnu";c(7.00992694761326, 48.2651706219425)
"1705";"88413_12198";"MTE";"Cerema AO Ademe";"inconnu";c(6.92009792486639, 48.2977860516941)
"1706";"88386_12200";"MTE";"Cerema AO Ademe";"inconnu";c(7.01380246852051, 48.2643645395359)
"1707";"14437_22456";"observatoire local";"EPF Normandie";"friche avec projet";c(-0.316171493481901, 49.1734019043365)
"1708";"88009_12201";"fond friche";"Appel à projet Fonds Friches";"friche avec projet";c(6.9525088407249, 48.1963299448392)
"1709";"88011_19553";"MTE non vérifié";"Site Basias ou Basol non vérifié par le Cerema";"friche potentielle";c(6.52188781265359, 48.1226334871016)
"1710";"82013_13166";"MTE";"Friche étude Ademe 2021";"inconnu";c(1.02907878110033, 43.8464117047229)
